iter	Passed	Remaining
1211	8742	3159
1212	8750	3152
1213	8758	3145
1214	8766	3138
1215	8774	3131
1216	8783	3125
1217	8792	3118
1218	8801	3111
1219	8809	3104
1220	8817	3098
1221	8826	3091
1222	8834	3084
1223	8841	3077
1224	8848	3070
1225	8856	3062
1226	8864	3055
1227	8871	3048
1228	8878	3041
1229	8886	3034
1230	8895	3027
1231	8902	3020
1232	8910	3013
1233	8918	3006
1234	8926	2999
1235	8933	2992
1236	8940	2985
1237	8948	2977
1238	8956	2970
1239	8963	2963
1240	8971	2956
1241	8979	2949
1242	8985	2942
1243	8994	2935
1244	9001	2928
1245	9008	2921
1246	9016	2913
1247	9025	2907
1248	9033	2900
1249	9041	2893
1250	9049	2886
1251	9056	2878
1252	9063	2871
1253	9070	2864
1254	9077	2857
1255	9084	2849
1256	9091	2842
1257	9097	2834
1258	9105	2827
1259	9112	2820
1260	9119	2813
1261	9126	2805
1262	9132	2798
1263	9140	2791
1264	9147	2783
1265	9153	2776
1266	9160	2769
1267	9167	2761
1268	9174	2754
1269	9182	2747
1270	9189	2740
1271	9195	2732
1272	9203	2725
1273	9208	2717
1274	9215	2710
1275	9221	2702
1276	9229	2695
1277	9235	2688
1278	9243	2681
1279	9250	2673
1280	9257	2666
1281	9263	2659
1282	9270	2651
1283	9277	2644
1284	9284	2637
1285	9291	2630
1286	9298	2622
1287	9305	2615
1288	9312	2607
1289	9318	2600
1290	9326	2593
1291	9333	2586
1292	9340	2578
1293	9346	2571
1294	9353	2564
1295	9360	2556
1296	9368	2549
1297	9375	2542
1298	9381	2535
1299	9389	2527
1300	9397	2520
1301	9404	2513
1302	9412	2506
1303	9419	2499
1304	9427	2492
1305	9434	2485
1306	9442	2477
1307	9448	2470
1308	9456	2463
1309	9464	2456
1310	9472	2449
1311	9476	2441
1312	9482	2433
1313	9489	2426
1314	9496	2419
1315	9503	2412
1316	9511	2404
1317	9518	2397
1318	9525	2390
1319	9532	2383
1320	9539	2375
1321	9546	2368
1322	9552	2361
1323	9558	2353
1324	9565	2346
1325	9571	2338
1326	9578	2331
1327	9584	2324
1328	9591	2316
1329	9598	2309
1330	9605	2302
1331	9611	2294
1332	9618	2287
1333	9626	2280
1334	9633	2273
1335	9641	2265
1336	9647	2258
1337	9654	2251
1338	9661	2243
1339	9668	2236
1340	9676	2229
1341	9682	2222
1342	9689	2214
1343	9696	2207
1344	9703	2200
1345	9710	2193
1346	9717	2185
1347	9724	2178
1348	9730	2171
1349	9737	2163
1350	9744	2156
1351	9751	2149
1352	9759	2142
1353	9766	2135
1354	9774	2128
1355	9783	2121
1356	9791	2114
1357	9799	2107
1358	9807	2100
1359	9815	2093
1360	9822	2085
1361	9829	2078
1362	9836	2071
1363	9843	2063
1364	9849	2056
1365	9856	2049
1366	9863	2041
1367	9869	2034
1368	9876	2027
1369	9882	2019
1370	9890	2012
1371	9897	2005
1372	9903	1998
1373	9911	1990
1374	9917	1983
1375	9924	1976
1376	9931	1968
1377	9937	1961
1378	9945	1954
1379	9952	1947
1380	9959	1940
1381	9966	1932
1382	9973	1925
1383	9980	1918
1384	9987	1910
1385	9994	1903
1386	10000	1896
1387	10007	1889
1388	10014	1881
1389	10020	1874
1390	10027	1867
1391	10034	1859
1392	10040	1852
1393	10047	1845
1394	10054	1837
1395	10060	1830
1396	10068	1823
1397	10077	1816
1398	10086	1809
1399	10096	1802
1400	10103	1795
1401	10110	1788
1402	10118	1781
1403	10126	1774
1404	10134	1767
1405	10142	1760
1406	10151	1753
1407	10166	1747
1408	10176	1740
1409	10188	1734
1410	10200	1727
1411	10211	1721
1412	10221	1714
1413	10230	1707
